Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                                                             |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
0    | 10UQA.E.B00.D-1020      |Внешние присоединения кабелей к НКУ 0,4 кВ в части электродвигателей                                                                   |AKU.1324.10UQA.0.AK.TB0002                                                   |-                                                      |Смена статус заказчика с <(rev.C01)> на <На ВК (rev.C01)>                     |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <JV to Akkuyu Nuclear / JV в Аккую Нуклеар>                                                                                               |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-09>      |Смена ожидаемая дата выдачи рд в производство с <2022-12-27> на <2023-03-30>        |Титан-2=>C-плюс                |
1    | 10UQA.E.B00.D-1110      |Вторичные соединения в части электродвигателей. Схемы электрические полные                                                             |AKU.1324.10UQA.0.AK.TB0001                                                   |-                                                      |Смена статус заказчика с <(rev.C01)> на <Выдан в производство (rev.C01)>      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-02>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-07> на <в производстве>    |Титан-2=>C-плюс                |
2    | 10UQA.E.B00.D-1130      |Вторичные соединения элементов питания РУСН-0,4 кВ. Схемы подключения кабелей                                                          |AKU.1324.10UQA.0.AE.TB0004                                                   |-                                                      |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <Comments from T2 to sub-supplier / Замечания от Т2 субподрядчику>                                                                        |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-09>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-02-16>        |Титан-2=>C-плюс                |
3    | 10UJA.T.JMN.D-2080      |(10UKA). Трубопроводы дополнительного охлаждения бассейна выдержки (Арматура)                                                          |AKU.0120.10UJA.JMN.TM.TB0004                                                 |Смена пакет рд с <None> на <02.01-U1-2-0502>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-04-29>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
4    | 10UJA.T.JMN.D-2070      |Трубопроводы спринклерной системы (Арматура)                                                                                           |AKU.0120.10UJA.JMN.TM.TB0001                                                 |Смена пакет рд с <None> на <02.01-U1-2-0093>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
5    | 10UJA.T.KBC.D-1070      |(10UKA). Трубопроводы системы дистиллята (Арматура)                                                                                    |AKU.0120.10UJA.KBC.TM.TB0002                                                 |Смена пакет рд с <None> на <02.01-U1-2-0236>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |АЭП                            |
6    | 10UJA.T.KBC.D-1060      |Трубопроводы системы дистиллята (Арматура)                                                                                             |AKU.0120.10UJA.KBC.TM.TB0001                                                 |Смена пакет рд с <None> на <02.01-U1-2-0230>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |АЭП                            |
7    | 10UJA.T.KTH.D-2020      |(10UKA) Трубопроводы системы спецканализации зданий 10UJA и 10UKC (напорная часть. Арматура)                                           |AKU.0120.10UJA.KTH.TM.TB0002                                                 |Смена пакет рд с <None> на <02.01-U1-2-0268>           |Смена статус заказчика с <ВК + (rev.C02)> на <Выдан в производство (rev.C02)> |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-11-22> на <2023-01-16>|Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |АЭП                            |
8    | 10UJA.T.KUA.D-1140      |Трубопроводы системы отбора проб из оборудования здания 10UJA (Арматура)                                                               |AKU.0120.10UJA.KUA.TM.TB0003                                                 |Смена пакет рд с <None> на <02.01-U1-2-0342>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <DD sent FOR CONSTRUCTION / Комплект РД выдан В ПРОИЗВОДСТВО подрядчику>      |Смена дата выпуска рд по договору подрядчика с <None> на <2022-05-06>      |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
9    | 10UKC.T.KTA.D-2020      |Трубопроводы системы дренажей и организованных протечек 1 контура (Арматура)                                                           |AKU.0120.10UKC.KTA.TM.TB0001                                                 |Смена пакет рд с <None> на <02.03-U1-2-0289>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
10   | 10UKC.T.LCQ.D-1210      |Трубопроводы системы продувки и дренажей ПГ. Низкое давление. Pp<2.2 МПа (Арматура)                                                    |AKU.0120.10UKC.LCQ.TM.TB0001                                                 |Смена пакет рд с <None> на <02.03-U1-2-0045>           |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
11   | 01UKY.T.SGA.D-1000      |Водопровод противопожарный общестанционный                                                                                             |AKU.0179.01UKY.SGA.PT.TB0001                                                 |Смена пакет рд с <None> на <02.31.1-U0-2-0003>         |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-04-05>        |Титан-2=>ВПЭП                  |
12   | 02UKY.T.SGA.D-1000      |Водопровод противопожарный общестанционный                                                                                             |AKU.0179.02UKY.SGA.PT.TB0001                                                 |Смена пакет рд с <None> на <02.31.2-U0-2-0002>         |-                                                                             |-                                                         |-                                                                                                                                                                                  |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-03-14>        |Титан-2=>ВПЭП                  |
