Список измененных значений:

       Коды работ по выпуску РД|Наименование объекта/комплекта РД                                                                                                      |Код KKS документа                                                            |Пакет РД                                               |Статус Заказчика                                                              |Текущая ревизия                                           |Статус текущей ревизии                                                                                                                           |Дата выпуска РД по договору подрядчика                                     |Дата выпуска РД по графику с Заказчиком                               |Дата статуса Заказчика                                     |Ожидаемая дата выдачи РД в производство                                             |Разработчики РД (актуальные)   |
0    | 10UQA.E.B00.D-1020      |Внешние присоединения кабелей к НКУ 0,4 кВ в части электродвигателей                                                                   |AKU.1324.10UQA.0.AK.TB0002                                                   |-                                                      |Смена статус заказчика с <(rev.C01)> на <На ВК (rev.C01)>                     |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <На согласовании AN>                                                                                    |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-09>      |Смена ожидаемая дата выдачи рд в производство с <2022-12-27> на <2023-03-30>        |Титан-2=>C-плюс                |
1    | 10UQA.E.B00.D-1110      |Вторичные соединения в части электродвигателей. Схемы электрические полные                                                             |AKU.1324.10UQA.0.AK.TB0001                                                   |-                                                      |Смена статус заказчика с <(rev.C01)> на <Выдан в производство (rev.C01)>      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <Передан в производство>                                                                                |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-02>      |Смена ожидаемая дата выдачи рд в производство с <2023-02-07> на <в производстве>    |Титан-2=>C-плюс                |
2    | 10UQA.E.B00.D-1130      |Вторичные соединения элементов питания РУСН-0,4 кВ. Схемы подключения кабелей                                                          |AKU.1324.10UQA.0.AE.TB0004                                                   |-                                                      |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |Смена текущая ревизия с <C01 (есть только в 1С)> на <C01> |Смена статус текущей ревизии с <None> на <На корректировке у разработчика>                                                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-02-09>      |Смена ожидаемая дата выдачи рд в производство с <2023-01-24> на <2023-02-16>        |Титан-2=>C-плюс                |
3    | 03UGF.J.C00.D-1180      |Теплотехнический контроль (КИП). Задание заводу                                                                                        |AKU.0120.03UGF.0.AK.TB0001.Z0001                                             |Смена пакет рд с <None> на <06.02-U0-3-0010>           |-                                                                             |-                                                         |Смена статус текущей ревизии с <DD signed FOR CONSTRUCTION / Комплект РД подписан В ПРОИЗВОДСТВО> на <Передан в производство>                    |-                                                                          |-                                                                     |-                                                          |Смена ожидаемая дата выдачи рд в производство с <None> на <в производстве>          |Титан-2=>АЭП                   |
4    | 01UJY.J.CYE.D-1020      |СКУ ПЗ. Пожарная сигнализация. Оповещение о пожаре. Журнал контрольных кабелей                                                         |AKU.0179.01UJY.CYE.PS.MB0001                                                 |Смена пакет рд с <None> на <02.28.1-U0-3-0008>         |Смена статус заказчика с <На ВК (rev.C01)> на <ВК - (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |Смена дата выпуска рд по договору подрядчика с <None> на <2022-12-27>      |-                                                                     |Смена дата статуса заказчика с <2022-12-20> на <2023-02-07>|Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-03-02>        |Титан-2=>ОВСК(ПСГ)             |
5    | 02UJY.J.CYE.D-1110      |СКУ ПЗ. Пожарная сигнализация. Оповещение о пожаре. Журнал контрольных кабелей                                                         |AKU.0179.02UJY.CYE.PS.MB0001                                                 |Смена пакет рд с <None> на <02.28.2-U0-3-0008>         |Смена статус заказчика с <На ВК (rev.C01)> на <ВК - (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-20> на <2023-02-07>|Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-03-02>        |Титан-2=>ОВСК(ПСГ)             |
6    | 04UKY.J.CYE.D-1020      |СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей                                                                                |AKU.0179.04UKY.CYE.PS.MB0002                                                 |Смена пакет рд с <None> на <02.31.4-U0-3-0011>         |Смена статус заказчика с <На ВК (rev.C01)> на <ВК - (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-20> на <2023-02-06>|Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-03-02>        |Титан-2=>ОВСК(ПСГ)             |
7    | 04UKY.J.CYE.D-1030      |СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей                                                                              |AKU.0179.04UKY.CYE.PS.MB0001                                                 |Смена пакет рд с <None> на <02.31.4-U0-3-0010>         |Смена статус заказчика с <На ВК (rev.C01)> на <ВК - (rev.C01)>                |-                                                         |Смена статус текущей ревизии с <T2 to Akkuyu Nuclear / Т2 в Аккую Нуклеар> на <На корректировке у разработчика>                                  |-                                                                          |-                                                                     |Смена дата статуса заказчика с <2022-12-20> на <2023-02-06>|Смена ожидаемая дата выдачи рд в производство с <2023-01-06> на <2023-03-02>        |Титан-2=>ОВСК(ПСГ)             |
8    | 05UKY.J.CYE.D-1020      |СКУ ПЗ. Оповещение о пожаре. Журнал контрольных кабелей                                                                                |AKU.0179.05UKY.CYE.PS.MB0002                                                 |Смена пакет рд с <None> на <02.31.5-U0-3-0011>         |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to AEP / Т2 в АЭП> на <На корректировке у разработчика>                                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-27>      |-                                                                                   |Титан-2=>ОВСК(ПСГ)             |
9    | 05UKY.J.CYE.D-1030      |СКУ ПЗ. Пожарная сигнализация. Журнал контрольных кабелей                                                                              |AKU.0179.05UKY.CYE.PS.MB0001                                                 |Смена пакет рд с <None> на <02.31.5-U0-3-0010>         |Смена статус заказчика с <(rev.C01)> на <ВК - (rev.C01)>                      |-                                                         |Смена статус текущей ревизии с <T2 to AEP / Т2 в АЭП> на <На корректировке у разработчика>                                                       |-                                                                          |-                                                                     |Смена дата статуса заказчика с <None> на <2023-01-27>      |-                                                                                   |Титан-2=>ОВСК(ПСГ)             |
