
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
0	00UAB.E.BCY.D-1020	 | 	Ввод от п-ции 31,5/10,5 кВ. РЗА КРУ 10 кВ. Пояснительная записка, расчеты срабатывания РЗА. Карты пар-ния терминалов РЗА
1	00UAB.E.CA1.D-1090	 | 	Журнал контрольных кабелей
2	00UAB.J.CXV.D-1000	 | 	(00UAB). МПУ. Задание заводу (1 этап)
3	00UAB.J.CXV.D-1010	 | 	(00UAB). МПУ. Программное обеспечение технических средств (2 этап)
4	00UAC.E.B00.D-1000	 | 	Схемы электрических соединений секций 0,4 кВ
5	00UAC.E.B00.D-1010	 | 	Схемы электрических соединений сборок 0,4 кВ
6	00UAC.E.B00.D-1020	 | 	Схемы электрических соединений инверторных сборок
7	00UAC.E.B00.D-1030	 | 	Схемы электрических щитов постоянного тока
8	00UAC.E.B00.D-1040	 | 	Компоновка электрооборудования
9	00UAC.E.B00.D-1050	 | 	Компоновка электрооборудования в осях 1-13
10	00UAC.E.BA1.D-1090	 | 	Журнал силовых кабелей 0,4 кВ
11	00UAC.E.BA1.D-1100	 | 	Журнал силовых кабелей постоянного тока
12	00UAC.E.BAU.D-1060	 | 	Молниезащита и заземление
13	00UAC.E.BCY.D-1000	 | 	РЗА резервных ТСН. Принципиальные схемы
14	00UAC.E.BCY.D-1010	 | 	РЗА общестанционных ТСН. Принципиальные схемы
15	00UAC.E.BCY.D-1020	 | 	РЗА резервных ТСН. Задание заводу на изготовление шкафов
16	00UAC.E.BCY.D-1030	 | 	РЗА общестанционных ТСН. Задание заводу на изготовление шкафов
17	00UAC.E.BCY.D-1040	 | 	РЗА резервных ТСН. Полные схемы
18	00UAC.E.BCY.D-1050	 | 	РЗА общестанционных ТСН. Полные схемы
19	00UAC.E.BCY.D-1060	 | 	РЗА резервных ТСН. Схемы подключения рядов зажимов
20	00UAC.E.BCY.D-1070	 | 	РЗА общестанционных ТСН. Схемы подключения рядов зажимов
21	00UAC.E.BCY.D-1080	 | 	РЗА резервных ТСН. Пояснительная записка, параметрирование
22	00UAC.E.BCY.D-1090	 | 	РЗА общестанционных ТСН. Пояснительная записка, параметрирование
23	00UAC.E.BCY.D-1100	 | 	РЗА резервных ТСН. Журнал контрольных кабелей
24	00UAC.E.BCY.D-1110	 | 	РЗА общестанционных ТСН. Журнал контрольных кабелей
25	00UAC.E.BJ0.D-1050	 | 	Электрическое освещение
26	00UAC.E.BUJ.D-1000	 | 	Задание заводу на шкафы распределения оперативного тока
27	00UAC.E.CA1.D-1110	 | 	Журнал контрольных кабелей
28	00UAC.E.EEE.D-1120	 | 	Задание заводу на секции 0,4 кВ
29	00UAC.E.EEE.D-1130	 | 	Задание заводу на сборки 0,4 кВ
30	00UAC.E.EEE.D-1140	 | 	Задание заводу на щиты постоянного тока
31	00UAC.E.EEE.D-1150	 | 	Вторичная коммутация
32	00UAC.J.CXV.D-1000	 | 	(00UAC). МПУ. Задание заводу (1 этап)
33	00UAC.J.CXV.D-1010	 | 	(00UAC). МПУ. Программное обеспечение технических средств (2 этап)
34	00UAC.J.CY0.D-1000	 | 	(00UAC). Задание заводу на контроллеры АУПТ (1 этап)
35	00UAC.J.CYE.D-1000	 | 	(00UAC). Задание заводу на контроллер АУПС (1 этап)
36	00UAC.J.JJJ.D-1020	 | 	Документация в части КИП
37	00UAC.J.JJJ.D-1030	 | 	Схемы автоматизации (МЩУ)
38	00UAC.J.JJJ.D-1040	 | 	Задание заводу на МЩУ
39	00UAC.J.JJJ.D-1050	 | 	Внешние присоединения к МЩУ
40	00UAC.J.JJJ.D-1060	 | 	СКУ ПЗ. Пожарная сигнализация
41	00UAC.J.JJJ.D-1070	 | 	СКУ ПЗ. Автоматическое водяное пожаротушение
42	00UAC.J.JJJ.D-1080	 | 	СКУ ПЗ. Автоматическое газовое пожаротушение
43	00UAC.J.JJJ.D-1090	 | 	СКУ ПЗ. Кабельные журналы
44	00UAC.J.JJJ.D-1100	 | 	СКУ ПЗ. Задание заводу на контроллеры
45	00UAC.J.JJJ.D-1110	 | 	СКУ ПЗ. Система оповещения и управления эвакуацией (СОУЭ)
46	00UAC.J.JJJ.D-1120	 | 	Система телефонной связи
47	00UAC.J.JJJ.D-1130	 | 	Система диспетчерской (двусторонней громкоговорящей) связи и голосового оповещения
48	00UAC.J.JJJ.D-1140	 | 	Система проводного радиотрансляционного вещания
49	00UAC.T.S00.D-1000	 | 	Отопление и вентиляция. Принципиальные схемы
50	00UAC.T.S00.D-1010	 | 	Вентиляция. Компоновочные чертежи
51	00UAC.T.S00.D-1020	 | 	Вентиляция. Установочные чертежи оборудования
52	00UAC.T.S00.D-1030	 | 	Отопление
53	00UAC.T.SG0.D-1010	 | 	Автоматические установки водяного пожаротушения
54	00UAC.T.SG0.D-1020	 | 	Автоматические установки газового пожаротушения
55	00UCM.R.CFR.D-1000	 | 	Рабочая документация на оборудование АСКРО
56	00UEJ.E.B00.D-1010	 | 	Электрическое освещение
57	00UEJ.J.C00.D-1030	 | 	ЗЗИ СКУ МПУ ОС. Этап 1
58	00UEJ.J.C00.D-1040	 | 	ЗЗИ СКУ МПУ ОС. Этап 2
59	00UEJ.J.C00.D-1050	 | 	СКУ МПУ ОС
60	00UEJ.J.C00.D-1060	 | 	СКУ МПУ ОС. ТЗА
61	00UEJ.J.C00.D-1070	 | 	СКУ ЭЧ ОС СН
62	00UEJ.J.CY0.D-1010	 | 	Система оповещения и поиска персонала
63	00UEJ.J.CY0.D-1030	 | 	Сети связи
64	00UEJ.J.CYE.D-1080	 | 	ЗЗИ СКУ ПЗ. Этап 1
65	00UEJ.J.CYE.D-1090	 | 	ЗЗИ СКУ ПЗ. Этап 2
66	00UEJ.J.CYE.D-1100	 | 	СКУ ПЗ. Автоматическое пожаротушение
67	00UEJ.J.CYE.D-1200	 | 	СКУ ПЗ. Пожарная сигнализация
68	00UEJ.J.CYE.D-1210	 | 	СКУ ПЗ. Система оповещения и управления эвакуацией (СОУЭ)
69	00UEL.E.C00.D-1000	 | 	Сети связи
70	00UEL.E.C00.D-1010	 | 	Система эксплуатационных радиотелефонов
71	00UEL.E.C00.D-1020	 | 	Система общестанционной телефонной связи
72	00UEL.E.C00.D-1030	 | 	Система оперативной громкоговорящей и телефонной связи
73	00UEL.E.C00.D-1040	 | 	Система технологического наблюдения (промышленное телевидение)
74	00UEL.E.C00.D-1050	 | 	Система оповещения и поиска персонала
75	00UEL.E.C00.D-1060	 | 	Система часофикации
76	00UEL.E.C00.D-1070	 | 	Структурная схема системы оповещения
77	00UEL.J.C00.D-1010	 | 	ЗЗИ СКУ МПУ ОС. Этап 1
78	00UEL.J.C00.D-1020	 | 	ЗЗИ СКУ МПУ ОС. Этап 2
